keyword_small,occurrences_small
metabolism,910
genetics,764
immunology,549
humans,517
blood,390
female,316
male,301
aged,247
pathology,236
mice,222
physiology,219
diagnosis,215
middle aged,211
animals,190
adult,189
drug effects,189
therapeutic use,163
drug therapy,158
pharmacology,152
methods,146
switzerland,116
epidemiology,116
physiopathology,116
administration & dosage,107
cytology,96
chemistry,93
80 and over,81
mortality,80
adverse effects,80
receptors,78
therapy,74
stars,67
treatment outcome,60
complications,60
etiology,59
virology,57
adolescent,53
prospective studies,52
young adult,52
child,50
cell line,50
prognosis,49
diagnostic imaging,49
gene expression regulation,47
antagonists & inhibitors,47
rna,46
protein precursors,46
retrospective studies,45
malaria,44
cohort studies,44
abundances,44
cultured,44
multiple sclerosis,43
surgery,43
microbiology,43
follow-up studies,43
cells,43
biosynthesis,43
inbred c57bl,43
biological markers,43
antibodies,42
signal transduction,42
risk factors,41
statistics & numerical data,41
enzymology,39
viral,39
calcitonin,39
polymorphism,38
animal,38
prevention & control,38
antigens,38
analysis,37
psychology,37
tumor,36
time factors,36
knockout,36
case-control studies,34
single nucleotide,34
c-h,1
,32
hiv,32
general,32
classification,32
supernovae,32
models,32
genetic predisposition to disease,31
isolation & purification,31
chironomids,30
schizophrenia,30
magnetic resonance imaging,30
severity of illness index,30
genetic,29
rats,29
inflammation,28
standards,28
biomarkers,28
galaxies,28
genome-wide association study,28
cell differentiation,27
sensitivity and specificity,27
evolution,26
europe,26
depression,26
pharmacokinetics,26
disease models,26
predictive value of tests,26
2,25
exercise,25
physical activity,24
pregnancy,24
aging,24
climate change,24
zebrafish,24
dna,24
immunosuppressive agents,24
cell proliferation,24
gender,23
brain,23
stress,23
sleep,23
nucleosynthesis,23
human,23
drug resistance,23
bacterial,23
respiratory tract infections,23
galaxy,22
pneumonia,22
bacterial proteins,22
hippocampus,22
recombinant proteins,22
transgenic,22
arthritis,22
diabetes mellitus,21
nuclear reactions,21
peptides,21
anti-bacterial agents,21
analogs & derivatives,21
sepsis,21
plasmodium falciparum,20
anxiety,20
hiv infections,20
ethics,20
protein structure,20
disease progression,20
immunity,19
escherichia coli,19
qualitative research,19
apoptosis,19
phenotype,19
mutation,19
breast neoplasms,19
dna methylation,18
decision making,18
nursing,18
risk assessment,18
hydrodynamics,18
memory,18
gene expression,18
recurrence,18
chronic,18
c-reactive protein,18
membrane proteins,18
t-lymphocytes,18
anatomy & histology,18
gaba-b,18
messenger,18
mitochondria,17
microscopy,17
children,17
tanzania,17
quality of life,17
germany,17
cytokines,17
transmission,17
reproducibility of results,17
hiv-1,17
bacteria,17
age factors,17
ultrastructure,17
chemically induced,17
monoclonal,17
trends,17
deficiency,17
crystal structure,16
education,16
cancer,16
oxidative stress,16
mass spectrometry,16
double-blind method,16
bipolar disorder,16
dendritic cells,16
algorithms,16
copper,15
health,15
meta-analysis,15
micrornas,15
adaptation,15
macrophages,15
preschool,15
radiotherapy,15
growth & development,15
tomography,15
roc curve,15
virus replication,15
neurons,15
carcinoma,15
chromatography,15
community-acquired infections,15
drug,14
prevalence,14
immunosuppression,14
computer-mediated communication,14
simulation,14
soil erosion,14
flow cytometry,14
proteomics,14
transplantation,14
protein folding,14
molecular,14
toxicity,14
survival rate,14
bk virus,14
genotype,14
cell movement,14
pathogenicity,14
reverse transcriptase polymerase chain reaction,14
bacterial infections,14
molecular sequence data,14
proteins,14
survey,13
safety,13
asthma,13
tuberculosis,13
systematic review,13
genome,13
self-assembly,13
psoriasis,13
holocene,13
stable isotopes,13
gene expression profiling,13
protein,13
pollen,13
genetic variation,13
individual,13
infant,13
thermodynamics,13
length of stay,13
interferon-gamma,13
amino acid sequence,13
enzyme-linked immunosorbent assay,13
spectrometry,13
pulmonary disease,13
immunocompromised host,13
urine,13
diagnostic use,13
kidney transplantation,12
statistics,12
obesity,12
medication adherence,12
echocardiography,12
biodiversity,12
reactive oxygen species,12
migration,12
cognition,12
randomized controlled trials as topic,12
hospitalization,12
databases,12
postoperative complications,12
autoantibodies,12
liver,12
x-ray computed,12
polyomavirus infections,12
cerebrospinal fluid,12
organ transplantation,12
kinetics,12
neoplastic,12
immunoglobulin g,12
rheumatoid,12
adrenomedullin,12
mental health,11
endoplasmic reticulum,11
decision-making,11
africa,11
air pollution,11
public health,11
prevention,11
machine learning,11
genomics,11
motivation,11
polypharmacy,11
corporate governance,11
neutrinos,11
chironomidae,11
hypertension,11
temperature,11
breast cancer,11
insulin,11
interleukin-6,11
dose-response relationship,11
lakes,11
neoplasms,11
stem cells,11
type 2,11
blotting,11
western,11
proteome,11
up-regulation,11
embryology,11
chronic obstructive,11
lymphocyte activation,11
secretion,11
escherichia coli proteins,11
behavior,10
burnout,10
x-ray crystallography,10
sub-saharan africa,10
chronic disease,10
monitoring,10
sustainability,10
screening,10
surveillance,10
randomized controlled trial,10
treatment,10
elimination,10
skin,10
cardiovascular diseases,10
control,10
emotions,10
supramolecular chemistry,10
hospital,10
adolescents,10
hypothyroidism,10
experimental,10
microfluidics,10
climate,10
monocytes,10
genes,10
diatoms,10
phosphorylation,10
stable carbon isotopes,10
simultaneous hermaphrodite,10
immunohistochemistry,10
promoter regions,10
matching,10
cell survival,10
cd8-positive t-lymphocytes,10
real-time polymerase chain reaction,10
epithelial cells,10
neoplasm,10
mass,10
ovarian neoplasms,10
humanized,10
secondary,10
differential,10
protein denaturation,10
stroke,9
body mass index,9
environment,9
atrial fibrillation,9
relational work,9
development,9
neolithic,9
infection,9
major depressive disorder,9
phylogeny,9
blood pressure,9
daphnia magna,9
nanoparticles,9
utilization,9
evidence-based medicine,9
cortisol,9
infectious disease,9
testosterone,9
blood glucose,9
autonomy,9
risk,9
computational biology,9
survival analysis,9
chemotherapy,9
lymphocytic choriomeningitis virus,9
palaeolimnology,9
temperature reconstruction,9
hematopoietic stem cell transplantation,9
cytomegalovirus,9
ultrasonography,9
reference values,9
small interfering,9
genetic association studies,9
proto-oncogene proteins,9
inbred balb c,9
dna-binding proteins,9
instrumentation,9
movement protein,9
transplant recipients,9
tertiary,9
developmental,9
cross-sectional studies,9
transforming growth factor beta,9
liquid,9
glycoproteins,9
brown trout,9
amyloid,9
2'-bipyridine,8
history,8
cell cycle,8
mixed methods,8
patient safety,8
extracellular matrix,8
drug discovery,8
antiretroviral therapy,8
three-dimensional,8
collagen,8
dye-sensitized solar cell,8
prison,8
nanowires,8
subjective well-being,8
hydrogen isotopes,8
psychosis,8
neutron,8
heart failure,8
local adaptation,8
microsurgery,8
dementia,8
dwarf,8
myeloproliferative disorders,8
fluorescence,8
protein binding,8
firm performance,8
hek293 cells,8
peptide fragments,8
acute disease,8
kommunikationsinstrumente,8
neurogenesis,8
immunologic,8
fingolimod hydrochloride,8
relapsing-remitting,8
cd4-positive t-lymphocytes,8
carrier proteins,8
protein subunits,8
antiviral agents,8
cytomegalovirus infections,8
fibroblasts,8
practice guidelines as topic,8
european continental ancestry group,8
longitudinal studies,8
lung,8
cluster analysis,8
neoplasm metastasis,8
transcription factors,8
b-lymphocytes,8
antigen,8
molecular targeted therapy,8
cellular,8
analysis of variance,8
receptor,8
matrix-assisted laser desorption-ionization,8
ethnology,8
innate,8
regression analysis,8
biological,8
microtubules,8
economics,8
hydrocortisone,8
glycopeptides,8
non-u.s. gov't,8
eu ets,7
copper(i),7
schistosomiasis,7
co2,7
diabetes,7
nmr spectroscopy,7
survival,7
plasmodium,7
recovery,7
genetic therapy,7
vaccination,7
uncertainty quantification,7
performance,7
executive function,7
cardiovascular disease,7
ghana,7
modelling,7
3,7
2',7
6',7
malnutrition,7
parasite,7
incidence,7
uncertainty,7
lateglacial,7
transdisziplinarität,7
transformative forschung,7
biomarker,7
liposomes,7
glucocorticoids,7
resistance,7
raman spectroscopy,7
work environment,7
interleukin-1,7
methodology,7
mobility,7
qualitative forschung,7
emergency department,7
cladocera,7
chronic subdural hematoma,7
hematoma,7
cryo-em,7
lake sediment,7
nursing homes,7
daphnia,7
triage,7
transcriptome,7
metformin,7
earth observation,7
gwas,7
lymphocytes,7
rotation,7
immunotherapy,7
iridium,7
autoimmunity,7
emergency service,7
homer,7
neurosurgical procedures,7
ruthenium,7
ligands,7
job satisfaction,7
combination,7
auditory,7
base sequence,7
skeletal,7
political selection,7
multiprotein complexes,7
natalizumab,7
cell membrane,7
gamma-aminobutyric acid,7
cd,7
alleles,7
biopsy,7
infection and infectious agents,7
hematopoietic stem cells,7
psychological,7
proto-oncogene proteins c-akt,7
neoplasm staging,7
inhibitors,7
t-cell,7
regulatory,7
janus kinase 2,7
synovial membrane,7
jc virus,7
kaplan-meier estimate,7
support,7
nonparametric,7
tandem mass spectrometry,7
atrial natriuretic factor,7
nuclear magnetic resonance,7
biomolecular,7
thyroid neoplasms,7
tobacco mosaic virus,7
hyperthyroidism,7
2 `,7
emissions trading,6
covid-19,6
electricity,6
kenya,6
lung function,6
côte d'ivoire,6
mycobacterium tuberculosis,6
clinical trials,6
artemisinin,6
nursing home,6
shape optimization,6
exposure assessment,6
neogobius melanostomus,6
family,6
palladium,6
fitness,6
diabetes insipidus,6
coordination polymer,6
structure,6
history of science,6
vaccine hesitancy,6
polymersomes,6
time series,6
oncology,6
disclosure,6
self-management,6
palaeoclimate,6
rabies,6
soil-transmitted helminths,6
resilience,6
stable isotope analysis,6
knee,6
calcium,6
x-ray diffraction,6
prediction,6
virulence,6
cytotoxicity,6
discrimination,6
paleoclimatology,6
european union,6
hydropower,6
attitudes,6
schweiz,6
transdisziplinäre forschung,6
reallabore,6
drosophila,6
guidelines,6
human rights,6
content configuration analysis,6
nanomedicine,6
palliative care,6
imaging,6
training,6
transformation,6
intensive care,6
boundary element method,6
research,6
nanomedicines,6
multivariate analysis,6
intensive care units,6
pain,6
ritual,6
board of directors,6
influenza,6
ethiopia,6
alps,6
macrocycles,6
subdural,6
religion,6
social exclusion,6
fmri,6
neutropenia,6
inflammasome,6
insomnia,6
late-type,6
culture,6
learning,6
biocatalysis,6
mtorc2,6
review,6
signaling,6
digitalisierung,6
directed evolution,6
search,6
bioethics,6
immunomodulation,6
daphnia-magna,6
sex allocation,6
addiction,6
dynamics,6
remote sensing,6
depressive disorder,6
photometry,6
social media,6
methane,6
invertebrates,6
land use,6
immune response,6
wistar,6
microbial sensitivity tests,6
anti-inflammatory agents,6
macrostomum,6
nurses,6
patient satisfaction,6
natriuretic peptide,6
muscle,6
unternehmenskommunikation,6
kommunikationsmix,6
marketingkommunikation,6
knee joint,6
articular,6
insulin-secreting cells,6
interleukin-1beta,6
tumor virus infections,6
combined modality therapy,6
viremia,6
repressor proteins,6
neutrophils,6
amino acid substitution,6
physiological,6
innate immunity,6
motor activity,6
injuries,6
protein kinase inhibitors,6
interleukin-4,6
antagonists &,6
vascular endothelial growth factor a,6
airway remodeling,6
sequence analysis,6
viral load,6
neoplasm invasiveness,6
systemic,6
t-lymphocyte subsets,6
calcium channels,6
antineoplastic agents,6
plasmodesmata,6
psychological functioning,6
gel,6
escherichia coli infections,6
intracellular signaling peptides and proteins,6
drosophila melanogaster,6
th1 cells,6
nuclear proteins,6
neoplasm proteins,6
drug administration schedule,6
agonists,6
immunoenzyme techniques,6
chemical synthesis,6
electron,6
critical illness,6
oxidoreductases,6
6 `,6
2 ``-terpyridine,6
thyroid function tests,6
thyrotropin,6
thyroxine,6
inflammatory bowel disease,5
regulation,5
attention,5
cause of death,5
cell biology,5
molecular dynamics,5
health impact assessment,5
coordination network,5
crystallography,5
chirality,5
outcome,5
metastasis,5
c-di-gmp,5
bartonella,5
gis,5
collaboration,5
south africa,5
psychotherapy,5
erosion,5
biofilm,5
pediatric neurosurgery,5
traumatic brain injury,5
serum,5
self-efficacy,5
proportional hazards models,5
assessment,5
bronze age,5
zambia,5
sociology,5
polymerase chain reaction,5
gene therapy,5
monoclonal antibody,5
decentralization,5
ige,5
knowledge,5
policy,5
high performance computing,5
sport,5
practice,5
access,5
india,5
metabolic syndrome,5
angiogenesis,5
governance,5
vaccine,5
turnout,5
sample size,5
peacebuilding,5
methodik,5
praxisakteure,5
agency,5
working memory,5
replication,5
nicotine,5
psychiatry,5
streptavidin,5
comorbidity,5
gold,5
sappho,5
quality of care,5
glioma,5
phenology,5
sustainable consumption,5
drought,5
validation,5
sex differences,5
animal model,5
chromosomes,5
developmental biology,5
meningitis,5
allergy,5
lipids,5
synthetic biology,5
translational research,5
electrochemistry,5
decisions from experience,5
mood,5
n-alkanes,5
chemokines,5
melanoma,5
aspirin,5
outcome assessment (health care),5
interaction,5
transition,5
self-control,5
hepatitis c virus,5
homosexuality,5
pseudomonas aeruginosa,5
fatty acids,5
pragmatics,5
disc,5
law,5
weight loss,5
complement,5
conservation,5
management,5
protein engineering,5
rictor,5
biochemistry,5
adherence,5
cities,5
intervention,5
prednisone,5
implementation,5
mouse,5
aggression,5
alzheimer's disease,5
caregivers,5
heterogeneous innovations,5
numerical modeling,5
asset pricing,5
technological spillovers,5
optimal control,5
endogenous growth,5
feedback,5
gravitational waves,5
mental disorders,5
agb and post-agb,5
numerical,5
heuristics,5
capital structure,5
artificial metalloenzyme,5
energy transition,5
estradiol,5
groundwater,5
scanning probe microscopy,5
sperm competition,5
iliad,5
lake sediments,5
aneurysm,5
administration,5
higher education,5
circumstellar matter,5
astrochemistry,5
blood supply,5
rabbits,5
civil society,5
hypoglycemic agents,5
image processing,5
surveys and questionnaires,5
newborn,5
hospitals,5
major,5
public servants,5
dialogkommunikation,5
cadaver,5
neural stem cells,5
tor serine-threonine kinases,5
graft survival,5
placenta,5
registries,5
liver cirrhosis,5
th2 cells,5
mass screening,5
factor xii,5
tumor microenvironment,5
polyoma,5
protein isoforms,5
immunoassay,5
area under curve,5
neurites,5
spiral ganglion,5
xenograft model antitumor assays,5
logistic models,5
antigen presentation,5
lung neoplasms,5
epigenesis,5
down-regulation,5
killer cells,5
natural,5
autoantigens,5
complement c1q,5
lupus erythematosus,5
drug monitoring,5
hepatitis c,5
homeostasis,5
inflammation mediators,5
rent-seeking,5
influenza vaccines,5
nerve tissue proteins,5
longitudinal study,5
gaba,5
electrophoresis,5
magnetic resonance spectroscopy,5
cell culture techniques,5
mammary glands,5
l-type,5
leukocyte count,5
life satisfaction,5
protein-serine-threonine kinases,5
osteoarthritis,5
tumor necrosis factor-alpha,5
swine,5
clinical protocols,5
patient admission,5
transfer function,5
drosophila proteins,5
software,5
circular dichroism,5
protein conformation,5
shock,5
antithyroid agents,5