Departments,expected,observed abstract
Associated,842.375743337494,1184.3536873391186
Central Services,158.43183319873725,174.61454767401747
Economics,223.6252844871889,243.61117745402439
Humanities,2449.0125541443363,718.6264363240718
Interdisciplinary,167.09492695103148,140.9123477430141
Law,747.5222083547465,135.0741713770135
Medicine,1684.1641582850011,2610.195578908261
Psychology,434.7698406871743,479.52657697104803
Science,2872.0358270317893,4172.173128466417
Theology,420.9676235225021,140.9123477430141